Category,Quantity,References,Value,Stock Code,Description,PCB Package,Placed
Capacitors,1,C3,CL05B104KO5NNNC,https://www.mouser.sg/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,CAPC1005X55N,Top Copper
Capacitors,1,C5,200p,https://www.mouser.sg/ProductDetail/Vishay-Cera-Mite/562R10TST20?qs=1Vd4QiMLiWEhnW3IqIibiA==,220p Ceramic Capacitor,CAP20,Top Copper
Capacitors,3,"C11,C12,C13",CL05B104KO5NNNC,https://www.mouser.sg/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,CAPC1005X55N,Top Copper
Resistors,15,"R17,R19,R39,R41,R43,R45,R52,R54,R56,R62,R64,R66,R72,R74,R76",221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,21,"R18,R20,R40,R42,R44,R46,R50,R51,R53,R55,R57,R60,R61,R63,R65,R67,R70,R71,R73,R75,R77",442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,2,"R21,R22",220,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55220R00FHEK?qs=UEmB0FaNOjg2TC4qgSAJvQ%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,3,"R23,R24,R25",75,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF5575R000FHEB?qs=M0%2FukCt83fAn7GYP4qi24A%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,1,R104,100,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55100R00FHEK?qs=E1R6yEsG10vYngbhrGJpcw%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,1,R105,470,https://www.mouser.sg/ProductDetail/Vishay-BC-Components/SFR25H0004700FR500?qs=58bml8Dt%2FllkS%252Ba6658qMg%3D%3D,Generic resistor symbol,RES40,Top Copper
Integrated Circuits,2,"U23,U73",7402,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02DR?qs=SL3LIuy2dWwMb1IRls9bqA%3D%3D,Quadruple 2-Input Positive-NOR Gates,SOIC127P600X175-14N-CAP,Top Copper
Integrated Circuits,3,"U24,U54,U94",7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32DR?qs=SL3LIuy2dWwtfBSQ6o0JPg%3D%3D,Quad 2-input positive-OR gates,SOIC127P600X175-14N-CAP,Top Copper
Integrated Circuits,12,"U25,U213,U216,U255,U256,U259,U263,U264,U284,U430,U484,U629",74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NSR?qs=SL3LIuy2dWxsq%2FCTeVMKZg%3D%3D,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,SOIC127P780X200-20N-CAP,Top Copper
Integrated Circuits,2,"U26,U34",6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,64K (8Kx8) Static RAM,DIL28CAP20,Top Copper
Integrated Circuits,1,U52,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04DR?qs=SL3LIuy2dWzOhepjTMFpMg%3D%3D,Hex Inverters,SOIC127P600X175-14N-CAP,Top Copper
Integrated Circuits,1,U67,74LS11,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS11DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIaoHi3xvjif4%3D,Triple 3-Input Positive-AND Gates,SOIC127P600X175-14N-CAP,Top Copper
Integrated Circuits,3,"U76,U210,U211",7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85DR?qs=UG%2F8xqv%2F6Wcr2VkhPBBoGA%3D%3D,4-Bit Magnitude Comparator,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,1,U87,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139ADR?qs=SL3LIuy2dWwpYzaAOf%252BnlA%3D%3D,Dual 2-Line to 4-Line Decoders/Demultiplexers,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,2,"U95,U394",7474,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS74ADR?qs=UG%2F8xqv%2F6WdOEnCo3YslYA%3D%3D,Dual Positive-Edge-Triggered D-Type Flip-Flops With Clear And Preset,SOIC127P600X175-14N-CAP,Top Copper
Integrated Circuits,3,"U217,U218,U219",74LS161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161ADR?qs=SL3LIuy2dWx%252BNiLsCGC3nA%3D%3D,Synchronous 4-Bit Binary Counters,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,3,"U260,U261,U262",74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138DR?qs=SL3LIuy2dWwYDw%252Bne7f7PA%3D%3D,3-Line to 8-Line Decoders/Demultiplexers,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,21,"U265,U266,U267,U268,U269,U270,U271,U272,U273,U274,U275,U276,U277,U278,U279,U280,U631,U632,U633,U634,U635",74153,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS153DR?qs=SL3LIuy2dWyFs2m7ewa9VQ%3D%3D,Dual 1-of-4 Data Selectors/Multiplexers,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,1,U344,7408,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08DR?qs=SL3LIuy2dWwzq5fnFo78kw%3D%3D,Quadruple 2-Input Positive-AND Gates,SOIC127P600X175-14N-CAP,Top Copper
Integrated Circuits,8,"U361,U363,U385,U391,U393,U597,U628,U636",74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157DR?qs=SL3LIuy2dWw%2F%252Bp7AA8LUjg%3D%3D,Quadruple 1-of-2 Data Selectors/Multiplexers,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,1,U485,74LS174,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS174DR?qs=1K8%2FAQHn5WQhMQC6QKmQtQ%3D%3D,Hex D-Type Positive-Edge-Triggered Flip-Flops With Clear,SOIC127P600X175-16N-CAP,Top Copper
Integrated Circuits,1,U490,74LS682,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS682NSR?qs=UG%2F8xqv%2F6Wf%252BtjFXUxef2A%3D%3D,8-Bit Magnitude Comparators,SOIC127P780X200-20N-CAP,Top Copper
Integrated Circuits,1,U492,ADM709LARZ,https://www.mouser.sg/ProductDetail/Analog-Devices/ADM709LARZ?qs=BpaRKvA4VqHy5OxrBQwb0w%3D%3D,Processor Supervisor 4.65V 200uA 8-SOIC,SOIC127P600X175-8N,Top Copper
Integrated Circuits,3,"U625,U626,U627",ADA4430-1YKSZ-R7,https://www.mouser.sg/ProductDetail/Analog-Devices/ADA4430-1YKSZ-R7?qs=BpaRKvA4VqFNXyz5Q8X2jQ%3D%3D,"ANALOG DEVICES - ADA4430-1YKSZ-R7 - SD VIDEO FILTER, 9.5MHZ, SC-70-6, FULL R",SOT65P210X110-6N,Top Copper
Integrated Circuits,1,U630,74LS86,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS86ADR?qs=UG%2F8xqv%2F6WeQUT2f2bzDnQ%3D%3D,Quadruple 2-Input Exclusive-OR Gates,SOIC127P600X175-14N-CAP,Top Copper
Miscellaneous,1,1T,7408,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08DR?qs=SL3LIuy2dWwzq5fnFo78kw%3D%3D,Quadruple 2-Input Positive-AND Gates,SOIC127P600X175-14N-CAP,Top Copper
Miscellaneous,1,3M8,74148,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS148DR?qs=N6WZOzgtpqUYbR2JHrDnOg%3D%3D,8-Line To 3-Line Priority Encoders,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,4,"3N,3P,3R,3S",74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161ADR?qs=SL3LIuy2dWx%252BNiLsCGC3nA%3D%3D,Synchronous 4-Bit Binary Counters,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,4,"3T,3TT,4P,5P",7474,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS74ADR?qs=UG%2F8xqv%2F6WdOEnCo3YslYA%3D%3D,Dual Positive-Edge-Triggered D-Type Flip-Flops With Clear And Preset,SOIC127P600X175-14N-CAP,Top Copper
Miscellaneous,2,"4M,8D2",74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138DR?qs=SL3LIuy2dWwYDw%252Bne7f7PA%3D%3D,3-Line to 8-Line Decoders/Demultiplexers,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,1,4N,7410,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS10DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQI5p3xXbui0l0%3D,Triple 3-Input Positive-NAND Gates,SOIC127P600X175-14N-CAP,Top Copper
Miscellaneous,1,4R,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04DR?qs=SL3LIuy2dWzOhepjTMFpMg%3D%3D,Hex Inverters,SOIC127P600X175-14N-CAP,Top Copper
Miscellaneous,1,4T,74368,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS368AD?qs=SL3LIuy2dWyIGR1nOmwsZA%3D%3D,Hex Buffers/Line Drivers with Inverting Tristate Outputs,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,4,"5F8,5H8,5J8,5K8",74153,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS153DR?qs=SL3LIuy2dWyFs2m7ewa9VQ%3D%3D,Dual 1-of-4 Data Selectors/Multiplexers,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,2,"6D2,6F2",74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157DR?qs=SL3LIuy2dWw%2F%252Bp7AA8LUjg%3D%3D,Quadruple 1-of-2 Data Selectors/Multiplexers,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,2,"7A2,8B2",74LS174,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS174DR?qs=1K8%2FAQHn5WQhMQC6QKmQtQ%3D%3D,Hex D-Type Positive-Edge-Triggered Flip-Flops With Clear,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,2,"7B2,7C2",74LS245,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS245DWR?qs=w32V8uFkMxmdnuKq6FiFpw%3D%3D,Octal Bus Transceivers With Tristate Outputs,SOIC127P1030X265-20N-CAP,Top Copper
Miscellaneous,1,7R,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139ADR?qs=SL3LIuy2dWwpYzaAOf%252BnlA%3D%3D,Dual 2-Line to 4-Line Decoders/Demultiplexers,SOIC127P600X175-16N-CAP,Top Copper
Miscellaneous,1,BACKGROUNDRGB0,TST-110-04-L-D-RA,https://www.mouser.sg/ProductDetail/Samtec/TST-110-04-L-D-RA?qs=rU5fayqh%252BE0tH2YmPykHsg%3D%3D,"Samtec TST, 2.54mm Pitch, 20 Way, 2 Row PCB Terminal Block Header, Surface Mount",SHDRRA20W64P254_2X10_3302X889X927P,Top Copper
Miscellaneous,6,"DSW9,DSW13,DSW19,DSW20,DSW21,DSW22",DIPSW_2,https://www.mouser.sg/ProductDetail/TE-Connectivity-PB/1825360-1?qs=Ftb%252BnBCDTZKCT4kLG1kHfw%3D%3D,Interactive DIP Switch 2 indipendent elements,SW-DIP2,Top Copper
Miscellaneous,1,DSW12,DIPSW_8,https://www.mouser.sg/ProductDetail/TE-Connectivity/ADE08A04?qs=sGAEpiMZZMtt%2FePYj%2FTMhwk%252B%2FhX4O0WAjJubDt0lPR8%3D,Interactive DIP Switch 8 indipendent elements,SW-DIP8,Top Copper
Miscellaneous,2,"EXPANSIONBUSP1,VIDEOP1",MY_09021646921,https://www.mouser.sg/ProductDetail/HARTING/09021646921?qs=gIpPgrDBK%2FiWr6s0yE4P1A%3D%3D,DIN 41612 Connectors 64P 2A MALE R/A SLDR,09021646921,Top Copper
Miscellaneous,1,INRAMSEL1,CONN-SIL8,https://www.mouser.sg/ProductDetail/Molex/90121-0128?qs=PvP5v7EimsmfZ8WDsc6%252BuA%3D%3D,0.1in pitch SIL connector strip,CONN-SIL8,Top Copper
Miscellaneous,1,L5E2NEW,74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NSR?qs=SL3LIuy2dWxsq%2FCTeVMKZg%3D%3D,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,SOIC127P780X200-20N-CAP,Top Copper
Miscellaneous,4,"LAYER1,LAYER2,LAYER3,LAYER4",TST-105-04-L-D-RA,https://www.mouser.sg/ProductDetail/Samtec/TST-105-04-L-D-RA?qs=rU5fayqh%252BE1Sh4tE8MmD1w%3D%3D,Conn Shrouded Header HDR 10 POS 2.54mm Solder RA Thru-Hole Tube,SHDRRA10W64P254_2X5_2032X889X927P,Top Copper
Miscellaneous,3,"RV1,RV2,RV3",100,https://www.mouser.sg/ProductDetail/Bourns/3006P-7-101LF?qs=GiVA9kKujyafZRjN8HNnfA%3D%3D,POT 100 OHM 3/4 inch RECT WW SL MT,PRE-MT0.75,Top Copper
Miscellaneous,1,VID1,CONN-DIL8,https://www.mouser.sg/ProductDetail/Mill-Max/803-47-008-10-001000?qs=sGAEpiMZZMvlX3nhDDO4AEvDUxDP%2FxEU0g06CSv%2FFqg%3D,0.1in pitch DIL connector strip,CONN-DIL8,Top Copper
Miscellaneous,1,VID2,2311586-4,https://www.mouser.sg/ProductDetail/TE-Connectivity/2311586-4?qs=rrS6PyfT74fCtSRxG4pC6w%3D%3D,"D-Sub High Density Connectors AMPL REC, HD22 R/A 15P THREADED BLU",23115864,Top Copper
Miscellaneous,1,X2,CRYSTAL,https://www.mouser.sg/ProductDetail/520-HCU1209-SX,Quartz crystal,XTAL18,Top Copper
Capacitors,2,One 100nF (0.1uF) capacitor for DIP ICs marked with extra DC near pin 1,K104K15X7RF53H5,https://www.mouser.sg/ProductDetail/Vishay-BC-Components/K104K15X7RF53H5?qs=sYfpZ29HcUSlgH5bSUHkYw%3D%3D,Decoupling capacitors for each DC component,,Top Copper
Capacitors,85,One 100nF (0.1uF) capacitor for SMT ICs marked with extra SDC near pin 1,CL05B104KO5NNNC,https://www.mouser.sg/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,Decoupling capacitors for each SDC component,,Top Copper
