Category,References,Value,Stock Code,Unit Cost,Description,Group Layer
Integrated Circuits,U82,74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcw32YC66%252Bjxg%3D,S$0.90,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Tiles
Integrated Circuits,U83,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D,S$0.90,Synchronous 4-Bit Binary Counters,
Integrated Circuits,U84,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,
Integrated Circuits,U85,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139AN?qs=sGAEpiMZZMtxONTBFIcRfpKvrGTByBdi%2FBZhV6RAyCA%3D,S$0.93,Dual 2-Line to 4-Line Decoders/Demultiplexers,Sprites
Integrated Circuits,U86,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139AN?qs=sGAEpiMZZMtxONTBFIcRfpKvrGTByBdi%2FBZhV6RAyCA%3D,S$0.93,Dual 2-Line to 4-Line Decoders/Demultiplexers,Sprites
Integrated Circuits,U87,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139AN?qs=sGAEpiMZZMtxONTBFIcRfpKvrGTByBdi%2FBZhV6RAyCA%3D,S$0.93,Dual 2-Line to 4-Line Decoders/Demultiplexers,Video
Integrated Circuits,U88,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139AN?qs=sGAEpiMZZMtxONTBFIcRfpKvrGTByBdi%2FBZhV6RAyCA%3D,S$0.93,Dual 2-Line to 4-Line Decoders/Demultiplexers,Tiles
Integrated Circuits,U89,74LS86,,,Quadruple 2-Input Exclusive-OR Gates,Mode7
Integrated Circuits,U90,74LS00,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOjzVWLw0jaeE%3D,S$0.95,Quadruple 2-Input Positive-NAND Gates,Chars
Integrated Circuits,U91,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,S$0.87,Quad 2-input positive-OR gates,Chars
Integrated Circuits,U92,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,S$0.87,Quad 2-input positive-OR gates,Tiles
Integrated Circuits,U93,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,S$0.72,Hex Inverters,Tiles
Integrated Circuits,U94,7432,,,Quad 2-input positive-OR gates,Video
Integrated Circuits,U95,7474,,,Dual Positive-Edge-Triggered D-Type Flip-Flops With Clear And Preset,Video
Integrated Circuits,U96,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U97,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U98,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U99,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U100,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U101,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U102,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U103,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U104,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U105,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U106,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U107,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U108,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U109,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U110,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U111,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U112,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U113,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U114,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U115,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U116,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U117,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U118,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U119,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U120,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U121,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U122,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U123,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U124,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U125,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U126,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U127,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U128,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U129,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U130,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U131,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U132,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U133,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U134,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U135,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U136,6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,S$4.01,64K (8Kx8) Static RAM,Mode7
Integrated Circuits,U137,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,S$0.87,Quad 2-input positive-OR gates,Mode7
Integrated Circuits,U138,7474,,,Dual Positive-Edge-Triggered D-Type Flip-Flops With Clear And Preset,Mode7
Integrated Circuits,U139,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U140,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U141,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U142,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U143,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U144,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U145,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U146,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U147,74LS00,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOjzVWLw0jaeE%3D,S$0.95,Quadruple 2-Input Positive-NAND Gates,Mode7
Integrated Circuits,U148,74LS86,,,Quadruple 2-Input Exclusive-OR Gates,Mode7
Integrated Circuits,U149,74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373NE4?qs=sGAEpiMZZMu2QtOrmdJ1%2FRPDYI7IXkrB2H7gdWq7qaw%3D,S$1.40,Octal D-Type Transparent Latches with 3-state Outputs,Mode7
Integrated Circuits,U150,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U151,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U152,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U153,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U154,74LS00,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOjzVWLw0jaeE%3D,S$0.95,Quadruple 2-Input Positive-NAND Gates,Mode7
Integrated Circuits,U155,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,S$0.87,Quad 2-input positive-OR gates,Mode7
Integrated Circuits,U156,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U157,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U158,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U159,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,S$0.72,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U160,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,S$0.72,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U161,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,S$0.72,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U162,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,S$0.72,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U163,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U164,74157,,,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U165,74157,,,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U166,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,S$0.72,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U167,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U168,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U169,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U170,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U171,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U172,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U173,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U174,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U175,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U176,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U177,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U178,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U179,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U180,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,S$0.72,3-Line to 8-Line Decoders/Demultiplexers,Mode7
Integrated Circuits,U181,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U182,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U183,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U184,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U185,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U186,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U187,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U188,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U189,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U190,74273,,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Mode7
Integrated Circuits,U191,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U192,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U193,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U194,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U195,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U196,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U197,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U198,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U199,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U200,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U201,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U202,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U203,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U204,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U205,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U206,7483,,,4-Bit Binary Full Adder With Fast Carry,Mode7
Integrated Circuits,U207,6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,S$4.01,64K (8Kx8) Static RAM,Mode7
Integrated Circuits,U208,74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373NE4?qs=sGAEpiMZZMu2QtOrmdJ1%2FRPDYI7IXkrB2H7gdWq7qaw%3D,S$1.40,Octal D-Type Transparent Latches with 3-state Outputs,Mode7
Integrated Circuits,U209,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,S$0.72,Hex Inverters,Mode7
Integrated Circuits,U210,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U211,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U212,74LS00,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOjzVWLw0jaeE%3D,S$0.95,Quadruple 2-Input Positive-NAND Gates,Mode7
Integrated Circuits,U213,7432,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,S$0.87,Quad 2-input positive-OR gates,Mode7
Integrated Circuits,U214,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,S$0.72,Hex Inverters,Mode7
Integrated Circuits,U215,6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,S$4.01,64K (8Kx8) Static RAM,Mode7
Integrated Circuits,U216,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U217,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U218,74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373NE4?qs=sGAEpiMZZMu2QtOrmdJ1%2FRPDYI7IXkrB2H7gdWq7qaw%3D,S$1.40,Octal D-Type Transparent Latches with 3-state Outputs,Mode7
Integrated Circuits,U219,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Mode7
Integrated Circuits,U220,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U221,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U222,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U223,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers,Mode7
Integrated Circuits,U224,6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,S$4.01,64K (8Kx8) Static RAM,Mode7
Integrated Circuits,U225,74LS373,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373NE4?qs=sGAEpiMZZMu2QtOrmdJ1%2FRPDYI7IXkrB2H7gdWq7qaw%3D,S$1.40,Octal D-Type Transparent Latches with 3-state Outputs,Mode7
Integrated Circuits,U226,74LS86,,,Quadruple 2-Input Exclusive-OR Gates,Mode7
Integrated Circuits,U227,7432,,,Quad 2-input positive-OR gates,Mode7
Integrated Circuits,U228,74LS86,,,Quadruple 2-Input Exclusive-OR Gates,Mode7
Integrated Circuits,U229,6264FAST,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,,64K (8Kx8) Static RAM,Mode7
